1                    2              3      4      5     6    7      8      9           10 11  12  13  14     15  16      17      18      19      20    21     
===================  =============  =====  =====  ====  ===  =====  =====  ==========  =  ==  ==  ==  =====  ==  ======  ======  ======  ======  ====  ====== 
1969-11-19T22:24:56  2440545.43398  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   1     3.0  -999.9  -999.9  -999.9  9.99     3.8 
1969-11-19T22:25:52  2440545.43463  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   3     2.0  -999.9  -999.9  -999.9  9.99     3.7 
1969-11-19T22:26:49  2440545.43529  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   1     2.0  -999.9  -999.9     1.0  9.99     3.8 
1969-11-19T22:27:17  2440545.43561  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   5     3.0  -999.9     1.0  -999.9  9.99     4.2 
1969-11-19T22:27:45  2440545.43594  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   5     2.0  -999.9  -999.9  -999.9  9.99     4.1 
1969-11-19T22:28:41  2440545.43659  -99.9  -9.99  -999  -99  -99.9  -99.9      525960  3   3   0   0   99.0   5     5.0  -999.9  -999.9  -999.9  9.99     3.6 
1969-11-19T22:29:09  2440545.43691  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   5     2.0  -999.9  -999.9  -999.9  9.99     3.6 
1969-11-19T22:29:37  2440545.43723  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   5     2.0  -999.9     1.0  -999.9  9.99     3.8 
1969-11-19T22:30:33  2440545.43788  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   5     2.0  -999.9  -999.9  -999.9  9.99     3.8 
1969-11-19T22:31:01  2440545.43821  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   7  -999.9  -999.9  -999.9     1.0  9.99     3.9 
1969-11-19T22:31:29  2440545.43853  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   5     2.0  -999.9  -999.9     1.0  9.99     3.9 
1969-11-19T22:31:57  2440545.43885  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   7  -999.9  -999.9  -999.9     2.0  9.99     4.2 
1969-11-19T22:33:50  2440545.44016  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   7  -999.9  -999.9  -999.9     3.0  9.99     4.0 
1969-11-19T22:34:18  2440545.44049  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   5     2.0  -999.9  -999.9  -999.9  9.99     3.9 
1969-11-19T22:34:46  2440545.44081  -99.9  -9.99  -999  -99  -99.9  -99.9      524808  3   3   0   0   99.0   5     2.0  -999.9  -999.9  -999.9  9.99     3.9 
